group,country,taxon,variable,measure,value
Catfishes,Mexico,Striped catfish,FM,sd,0.645284560518425
Catfishes,Mexico,Striped catfish,FM,ll,4.072405113714591
Catfishes,Mexico,Striped catfish,FM,ul,7.3544332093019715
Catfishes,Mexico,Striped catfish,FO,mean,0.32057565829210527
Catfishes,Mexico,Striped catfish,FO,sd,0.2276511762574391
Catfishes,Mexico,Striped catfish,FO,ll,0.009240628066287393
Catfishes,Mexico,Striped catfish,FO,ul,3.924591577004292
Catfishes,India,Striped catfish,On_Feed,mean,76.90651612903225
Catfishes,India,Striped catfish,On_Feed,sd,1.005066436349319
Catfishes,India,Striped catfish,On_Feed,ll,74.64801289839089
Catfishes,India,Striped catfish,On_Feed,ul,79.05607742066726
Catfishes,India,Striped catfish,FCR,mean,1.5211342352941177
Catfishes,India,Striped catfish,FCR,sd,0.025891758666046615
Catfishes,India,Striped catfish,FCR,ll,1.4976308424383673
Catfishes,India,Striped catfish,FCR,ul,1.6099852615414625
Catfishes,India,Striped catfish,FM,mean,5.949964527469158
Catfishes,India,Striped catfish,FM,sd,0.6192513055733333
Catfishes,India,Striped catfish,FM,ll,4.301952022939366
Catfishes,India,Striped catfish,FM,ul,7.329113873028447
Catfishes,India,Striped catfish,FO,mean,0.21289337343394737
Catfishes,India,Striped catfish,FO,sd,0.16039700640225746
Catfishes,India,Striped catfish,FO,ll,0.13207330097273898
Catfishes,India,Striped catfish,FO,ul,4.490988643036632
Catfishes,Other countries,Striped catfish,On_Feed,mean,76.92822580645161
Catfishes,Other countries,Striped catfish,On_Feed,sd,0.9801184613480549
Catfishes,Other countries,Striped catfish,On_Feed,ll,74.60475952200903
Catfishes,Other countries,Striped catfish,On_Feed,ul,79.12568786994113
Catfishes,Other countries,Striped catfish,FCR,mean,1.5213455
Catfishes,Other countries,Striped catfish,FCR,sd,0.027504140097891223
Catfishes,Other countries,Striped catfish,FCR,ll,1.490631191922066
Catfishes,Other countries,Striped catfish,FCR,ul,1.6135779388134848
Catfishes,Other countries,Striped catfish,FM,mean,5.923306243861579
Catfishes,Other countries,Striped catfish,FM,sd,0.6468112597635179
